nome_municipio,mes_nome,ano,n_eventos
Porto Belo,Jun,2017,1
Porto Belo,Ago,2022,1
Porto Belo,Set,2020,1
Porto Belo,Out,2024,1
Porto Belo,Nov,2008,1
Porto Belo,Nov,2018,1
Porto Belo,Dez,2020,2
Porto Belo,Dez,2022,2
Santa Rosa do Sul,Jan,2011,1
Santa Rosa do Sul,Jan,2017,1
Santa Rosa do Sul,Jan,2023,1
Santa Rosa do Sul,Fev,2001,1
Santa Rosa do Sul,Fev,2014,1
Santa Rosa do Sul,Fev,2021,1
Santa Rosa do Sul,Mai,2004,1
Santa Rosa do Sul,Mai,2022,1
Santa Rosa do Sul,Mai,2024,1
Santa Rosa do Sul,Jun,2021,1
Santa Rosa do Sul,Jun,2022,1
Santa Rosa do Sul,Jun,2024,1
Santa Rosa do Sul,Ago,2011,2
Santa Rosa do Sul,Set,2009,1
Santa Rosa do Sul,Set,2013,1
Santa Rosa do Sul,Out,2001,1
Santa Rosa do Sul,Out,2023,1
Santa Rosa do Sul,Nov,2023,1
Santa Rosa do Sul,Dez,2002,1
Santa Rosa do Sul,Dez,2015,1
Santa Rosa do Sul,Dez,2021,1
Sombrio,Fev,2003,1
Sombrio,Fev,2014,1
Sombrio,Mai,2004,1
Sombrio,Mai,2022,1
Sombrio,Mai,2024,1
Sombrio,Jun,2023,1
Sombrio,Jun,2024,1
Sombrio,Jul,2023,1
Sombrio,Set,2001,1
Sombrio,Set,2009,1
Sombrio,Set,2013,1
Sombrio,Out,2023,2
Sombrio,Nov,2023,1
Sombrio,Dez,1995,1
Sombrio,Dez,2021,1
São Francisco do Sul,Jan,2009,1
São Francisco do Sul,Jan,2018,1
São Francisco do Sul,Jan,2021,1
São Francisco do Sul,Jan,2022,2
São Francisco do Sul,Jan,2024,1
São Francisco do Sul,Fev,2010,1
São Francisco do Sul,Fev,2020,1
São Francisco do Sul,Fev,2021,1
São Francisco do Sul,Mar,1994,1
São Francisco do Sul,Mar,2001,1
São Francisco do Sul,Mar,2016,1
São Francisco do Sul,Mar,2021,1
São Francisco do Sul,Mai,2018,1
São Francisco do Sul,Mai,2022,1
São Francisco do Sul,Set,2017,1
São Francisco do Sul,Out,2023,1
São Francisco do Sul,Nov,2008,1
São Francisco do Sul,Dez,2024,1
São José,Jan,2004,1
São José,Jan,2008,1
São José,Jan,2011,1
São José,Jan,2016,1
São José,Jan,2019,1
São José,Fev,2001,1
São José,Mar,2000,1
São José,Mar,2010,1
São José,Mai,2010,1
São José,Set,2001,1
São José,Set,2011,2
São José,Out,1997,1
São José,Nov,1991,1
São José,Nov,2008,1
São José,Nov,2022,1
São José,Dez,2011,1
São João do Sul,Jan,2011,1
São João do Sul,Fev,2000,1
São João do Sul,Mar,2007,1
São João do Sul,Mar,2010,1
São João do Sul,Mai,2004,1
São João do Sul,Mai,2008,1
São João do Sul,Mai,2021,1
São João do Sul,Mai,2022,1
São João do Sul,Mai,2024,1
São João do Sul,Jun,2015,1
São João do Sul,Jun,2021,1
São João do Sul,Jun,2023,1
São João do Sul,Jun,2024,1
São João do Sul,Jul,1993,1
São João do Sul,Jul,2020,1
São João do Sul,Jul,2024,1
São João do Sul,Set,2001,1
São João do Sul,Set,2009,1
São João do Sul,Set,2023,2
São João do Sul,Out,2023,1
São João do Sul,Nov,2023,1
São João do Sul,Dez,2021,1
Tijucas,Jan,2008,1
Tijucas,Mar,2010,1
Tijucas,Mar,2011,1
Tijucas,Mar,2013,1
Tijucas,Mar,2022,1
Tijucas,Jun,2021,1
Tijucas,Ago,2011,1
Tijucas,Set,2011,1
Tijucas,Out,2001,1
Tijucas,Out,2022,1
Tijucas,Out,2023,1
Tijucas,Nov,2008,1
Tijucas,Nov,2022,1
Tijucas,Dez,2022,1
