nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Laguna,Chuvas Intensas,Dez,2022,1
Laguna,Enxurradas,Jan,2009,1
Laguna,Enxurradas,Mar,1996,1
Laguna,Enxurradas,Mai,2004,1
Laguna,Enxurradas,Set,2004,1
Laguna,Inundações,Abr,2001,1
Laguna,Movimento de Massa,Ago,2011,1
Laguna,Movimento de Massa,Dez,2022,1
Navegantes,Alagamentos,Jan,2019,1
Navegantes,Alagamentos,Out,2023,1
Navegantes,Chuvas Intensas,Fev,2019,1
Navegantes,Chuvas Intensas,Dez,2022,1
Navegantes,Enxurradas,Jan,2008,1
Navegantes,Enxurradas,Jan,2018,1
Navegantes,Enxurradas,Fev,2020,1
Navegantes,Enxurradas,Mar,2002,1
Navegantes,Enxurradas,Abr,2009,1
Navegantes,Enxurradas,Abr,2010,1
Navegantes,Enxurradas,Set,2009,1
Navegantes,Enxurradas,Set,2011,1
Navegantes,Enxurradas,Nov,2003,1
Navegantes,Enxurradas,Nov,2008,1
Navegantes,Inundações,Mar,1992,1
Navegantes,Inundações,Out,2001,1
Navegantes,Movimento de Massa,Jun,2020,1
Palhoça,Chuvas Intensas,Jan,2021,1
Palhoça,Chuvas Intensas,Abr,2024,1
Palhoça,Chuvas Intensas,Jun,2021,1
Palhoça,Chuvas Intensas,Out,2021,1
Palhoça,Chuvas Intensas,Out,2023,1
Palhoça,Chuvas Intensas,Nov,2023,1
Palhoça,Chuvas Intensas,Dez,2022,1
Palhoça,Enxurradas,Jan,1997,1
Palhoça,Enxurradas,Jan,2008,1
Palhoça,Enxurradas,Jan,2011,1
Palhoça,Enxurradas,Fev,2001,1
Palhoça,Enxurradas,Fev,2005,1
Palhoça,Enxurradas,Mar,1996,1
Palhoça,Enxurradas,Mar,2010,1
Palhoça,Enxurradas,Set,2011,1
Palhoça,Enxurradas,Out,2001,1
Palhoça,Enxurradas,Nov,2008,1
Palhoça,Inundações,Nov,1991,1
Palhoça,Inundações,Dez,1995,1
Palhoça,Inundações,Dez,2020,1
Passo de Torres,Alagamentos,Fev,2014,1
Passo de Torres,Chuvas Intensas,Mai,2022,1
Passo de Torres,Chuvas Intensas,Mai,2024,1
Passo de Torres,Chuvas Intensas,Nov,2023,1
Passo de Torres,Enxurradas,Set,1998,1
Passo de Torres,Enxurradas,Set,2009,1
Passo de Torres,Enxurradas,Nov,1993,1
Passo de Torres,Inundações,Mai,2004,1
Passo de Torres,Inundações,Out,2013,1
Passo de Torres,Inundações,Dez,1995,1
Penha,Alagamentos,Jan,2017,1
Penha,Alagamentos,Jan,2022,1
Penha,Alagamentos,Nov,2018,1
Penha,Chuvas Intensas,Jan,2018,1
Penha,Chuvas Intensas,Jan,2019,1
Penha,Chuvas Intensas,Fev,2019,1
Penha,Chuvas Intensas,Fev,2020,1
Penha,Chuvas Intensas,Mai,2017,2
Penha,Chuvas Intensas,Nov,2018,1
Penha,Chuvas Intensas,Dez,2022,1
Penha,Enxurradas,Jan,2008,1
Penha,Enxurradas,Fev,2011,1
Penha,Enxurradas,Abr,2010,1
Penha,Enxurradas,Abr,2016,1
Penha,Enxurradas,Nov,2008,1
Penha,Inundações,Jan,2013,1
Penha,Inundações,Set,2011,2
Penha,Movimento de Massa,Jan,2017,1
Pescaria Brava,Alagamentos,Abr,2018,1
Pescaria Brava,Chuvas Intensas,Jun,2021,1
Pescaria Brava,Chuvas Intensas,Out,2023,1
Pescaria Brava,Enxurradas,Mai,2015,1
Pescaria Brava,Enxurradas,Mai,2019,1
Pescaria Brava,Enxurradas,Set,2013,1
Porto Belo,Alagamentos,Jan,2019,1
Porto Belo,Alagamentos,Fev,2021,1
Porto Belo,Alagamentos,Mar,2022,1
Porto Belo,Alagamentos,Nov,2018,1
Porto Belo,Chuvas Intensas,Jan,2018,1
